label,src_file,dev_ids_per_window_mean,dev_ids_per_window_p90,segments_per_window_mean,segments_per_window_p90,long_segment_frac,heavy_segment_frac,active_cfo_frac,seg_n_packets_p50,seg_n_packets_p90,seg_duration_obs_p50,seg_duration_obs_p90,cfo_std_norm_p50,cfo_std_norm_p90,cfo_std_norm_p99,CFO_Hz_std_p50,CFO_Hz_std_p90,CFO_00_Hz_std_p50,CFO_00_Hz_std_p90,CFO_11_Hz_std_p50,CFO_11_Hz_std_p90,CFO_10_Hz_std_p50,CFO_10_Hz_std_p90,CFO_01_Hz_std_p50,CFO_01_Hz_std_p90
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-30s.csv,11.0,15.0,11.333333333333334,15.8,0.5882352941176471,0.3235294117647059,0.8235294117647058,3.0,80.7,503.6102396249771,944.8803776502609,19274.172429960472,58742.56679202467,73174.52517202731,4194.759043015671,12398.064858022697,11656.326213986034,23805.443209452053,13048.441150666644,36058.1716982197,9753.024159328956,30008.029479711757,7454.693202573972,30337.924283094293
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-1min_rot-5min.csv,8.666666666666666,13.0,9.333333333333334,14.0,0.14285714285714285,0.39285714285714285,0.8214285714285714,8.5,82.80000000000001,217.5703970193863,557.9265882015229,17319.924940174766,48491.337435035806,67213.79571211032,3402.2819504937847,10348.970138321942,8674.205565695962,23909.324726695464,13089.908726297483,22751.657157272206,7330.400393611362,31617.443403309084,7356.591023892726,19871.18766086337
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-10s.csv,13.0,15.0,13.666666666666666,16.0,0.7560975609756098,0.2926829268292683,0.9512195121951219,26.0,88.0,539.8298637866974,1657.6273956298828,45880.68476504258,53531.79757134549,69505.30165371762,10267.146045862755,15945.716368339967,18706.90218604156,26206.290833408202,22477.251392884584,31811.205341110923,20836.19109164371,28575.353643356462,20762.98619489085,26888.77926814066
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-15min.csv,6.666666666666667,10.8,6.666666666666667,10.8,0.3,0.65,0.9,76.5,215.3,219.89949452877045,634.2532811403278,18184.454561652405,46048.58295660495,52346.9301323695,2992.789662525794,11388.038266609183,8794.806660726012,21796.64568766666,13048.441150666644,25466.106625959976,7169.2301776771665,21239.223260314342,7109.218410805164,21455.278897559885
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-1min.csv,10.666666666666666,14.8,11.333333333333334,15.8,0.6176470588235294,0.35294117647058826,0.9705882352941176,27.5,91.4,572.8412984609604,1134.4783001184462,45670.18192917966,56011.698252860246,59559.257751224344,10486.89915822371,13528.8886343957,21680.406290581923,25445.734862849782,23703.400718480265,30780.850575190503,20901.80561646863,27910.150537398607,19613.441564738238,27498.45229819381
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-2s.csv,15.0,15.0,15.666666666666666,16.0,0.6595744680851063,0.2553191489361702,0.723404255319149,27.0,87.19999999999999,564.6533041000366,1742.3335999011992,34510.92824526912,53677.412109204015,78131.16930647161,11058.79978508862,15232.48584492724,17896.01249120074,26091.120299237053,22703.06249241424,30403.626820143567,19875.910817197524,26969.49741016818,20745.35496111923,28414.55531484945
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-30s.csv,11.666666666666666,15.0,12.333333333333334,16.0,0.6756756756756757,0.32432432432432434,0.9459459459459459,28.0,92.19999999999999,539.8298637866974,1377.877041864395,47356.139870516665,52796.091604906345,69138.0655959054,10641.467580974253,14541.15928382912,21028.639331424252,25025.176612746032,24075.39967870996,31243.864592629507,20809.551848819505,27418.27963466894,21805.034820194094,27967.83927215142
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-2s_rot-5min.csv,8.0,12.2,8.333333333333334,13.0,0.16,0.76,0.92,69.0,88.80000000000001,220.19681930541992,547.9747534751892,19138.266241411744,51842.7139008073,53265.87250223036,4289.519315725093,12517.855814988223,13273.454142474317,23467.160616640584,16009.505099646725,28735.568866713398,13987.332421274072,24717.17240934926,12151.359637012116,25906.269813363393
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-10s.csv,11.333333333333334,15.0,12.0,16.0,0.7222222222222222,0.3055555555555556,0.8611111111111112,4.0,81.5,482.81624495983124,1421.2337248325348,23204.35867619061,61005.98922553744,67522.94409346694,7516.161388793985,17450.784966807365,11179.639604786884,31017.168849074515,14705.744855177903,37577.28894009487,13175.24270142112,29807.24585141211,11285.874708711808,32540.449665377062
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-15min.csv,7.666666666666667,11.8,7.666666666666667,11.8,0.30434782608695654,0.4782608695652174,0.9130434782608695,29.0,85.80000000000001,219.77218437194824,736.7962359428407,17107.334751527673,52618.96643884473,63348.134950886895,3019.955585292259,14382.991171303205,8570.803474600687,25547.585618488432,10951.889440811541,25721.64609605156,5589.235785547986,28340.76060865008,6861.845797717601,24000.63926594849
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-1min.csv,11.333333333333334,15.0,11.666666666666666,15.8,0.6285714285714286,0.3142857142857143,0.9142857142857143,5.0,81.6,535.215039730072,959.5640605449677,26322.55353552181,63385.74166798177,69407.0876332083,5465.462155408977,17488.927584518497,10373.753200532825,32463.071141761993,13281.898390353172,35545.56672894891,11585.985029431378,36420.727555318525,13853.838175354775,31654.35832889156
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-2s.csv,11.333333333333334,15.0,12.0,16.0,0.6944444444444444,0.3055555555555556,0.8611111111111112,4.5,81.0,516.6756541728973,1422.009599685669,24272.955416226403,57578.435949187566,64589.252887607494,6288.990041808056,16332.851824719899,13214.552125414248,28029.44330248173,14638.13679898693,37577.28894009487,12344.09327723223,27717.08922952973,11517.424262967977,32540.449665377062
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-30s.csv,11.333333333333334,15.0,12.0,16.0,0.6666666666666666,0.3055555555555556,0.8888888888888888,4.0,81.0,542.4036720991135,1421.8389240503311,30018.972469573273,64170.91350014416,71273.06470106887,5042.12114831337,17934.226702856915,13360.477421671701,28440.724943792837,17655.319351899016,36154.461846602695,13901.970730614055,35675.286604726316,10810.83449350106,33671.23891143038
Car_Adv,controlled/Car_Adv/scenarios_SDR_Adv__adv1_apple0_google0_samsung0_tile0__20260125_085150/scenario_tx-30s_rot-5min.csv,8.666666666666666,12.4,8.666666666666666,12.4,0.19230769230769232,0.4230769230769231,0.8846153846153846,17.0,84.0,219.89949452877045,573.0676205158234,18963.718836263506,57876.58135383799,59938.51813188364,3915.223800612379,14185.150836411467,10471.531474755748,24815.252190951138,13240.267678802069,33836.98830169364,10262.572519971778,32519.77181734614,8876.91415426114,29405.103756815253
