seg_id,eco,dev_id,t_start,t_end,n_packets,n_unique_adva_in_seg,n_adv_tag_packets,CFO_Hz_mean,CFO_Hz_std,CFO_Hz__iqr,CFO_00_Hz_mean,CFO_00_Hz_std,CFO_00_Hz__iqr,CFO_11_Hz_mean,CFO_11_Hz_std,CFO_11_Hz__iqr,CFO_10_Hz_mean,CFO_10_Hz_std,CFO_10_Hz__iqr,CFO_01_Hz_mean,CFO_01_Hz_std,CFO_01_Hz__iqr,duration_obs,duration_est,cfo_std_norm,label,src_file
0,APPLE,4F:C9:5B:A8:1D:D8,793.3420000000042,793.3420000000042,1,1,0,-36290.0,,0.0,61613.0,,0.0,-94072.0,,0.0,53984.0,,0.0,-116921.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:CC:C3:C4:A6:A2,765.7300000000105,765.7300000000105,1,1,0,-49097.0,,0.0,49688.0,,0.0,-117179.0,,0.0,49475.0,,0.0,-122544.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:DB:5B:A8:1D:DA,953.915000000008,953.915000000008,1,1,0,-37845.0,,0.0,64031.0,,0.0,-104538.0,,0.0,59949.0,,0.0,-131254.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:D8:56:F5:D0,128.85199999999895,128.85199999999895,1,1,0,-42734.0,,0.0,49855.0,,0.0,-131953.0,,0.0,58712.0,,0.0,-158934.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:F8:C6:7D:D0,725.7870000000112,725.7870000000112,1,1,0,-51321.0,,0.0,51613.0,,0.0,-130567.0,,0.0,33764.0,,0.0,-156877.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:FA:46:F5:D0,397.3700000000099,397.3700000000099,1,1,0,-19179.0,,0.0,47816.0,,0.0,-103156.0,,0.0,52746.0,,0.0,-127939.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:FA:52:75:D0,625.7220000000088,625.7220000000088,1,1,0,-23499.0,,0.0,53419.0,,0.0,-100187.0,,0.0,56558.0,,0.0,-111187.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:FA:52:F5:D0,311.1030000000028,311.1030000000028,1,1,0,-35494.0,,0.0,43091.0,,0.0,-108391.0,,0.0,49282.0,,0.0,-123081.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:FA:56:75:D0,457.94200000001,457.94200000001,1,1,0,-37074.0,,0.0,45294.0,,0.0,-107668.0,,0.0,58395.0,,0.0,-128075.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:FA:56:F5:D0,148.98300000000745,148.98300000000745,1,1,0,-29823.0,,0.0,70189.0,,0.0,-95073.0,,0.0,56713.0,,0.0,-105193.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:FA:56:FD:D0,140.52300000000105,140.52300000000105,1,1,0,-25051.0,,0.0,50670.0,,0.0,-91443.0,,0.0,49483.0,,0.0,-117827.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
0,APPLE,4F:E0:FA:D6:75:D0,66.32100000001083,66.32100000001083,1,1,0,-23223.0,,0.0,58034.0,,0.0,-108467.0,,0.0,40332.0,,0.0,-133450.0,,0.0,0.0,1800.0,0.0,Benign,controlled/Benign/airport.csv
