cluster_id,t_s,t_e,chunk_idx,mac,tag,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
5,900.0,1800.0,1,E1:72:8A:5E:02:27,APPLE_FINDMY,1,0.025974025974025976,0.9936900275728855,0,MATCH,1.676664655751846,1,19843.0,119018.0,-103787.0,112147.0,-89119.0
5,900.0,1800.0,1,E2:48:50:3D:BC:B4,APPLE_FINDMY,1,0.02564102564102564,0.9937812961223103,0,MATCH,1.4882531528287402,1,-1132.0,128322.0,-97394.0,103971.0,-97249.0
13,900.0,1800.0,1,62:9E:B0:86:D4:40,GOOGLE,1,0.16666666666666666,0.9999999999960932,0,MATCH,2.9932787286406013,1,-4778.0,143914.0,-134090.0,125819.0,-106522.0
4,900.0,1800.0,1,F0:A0:5E:36:41:0D,APPLE_FINDMY,1,0.013986013986013986,0.9932736291495728,0,MATCH,-1000000000000.0,1,-9705.0,144315.0,-123735.0,111493.0,-112550.0
4,900.0,1800.0,1,FB:1C:68:5E:38:34,APPLE_FINDMY,1,0.013888888888888888,0.9933231557406348,0,MATCH,3.040602938754667,1,-5849.0,104419.0,-109226.0,80570.0,-96773.0
5,900.0,1800.0,1,E2:CA:2C:04:3A:46,APPLE_FINDMY,1,0.02531645569620253,0.9938701744086677,0,MATCH,4.524203935450364,1,3529.0,133037.0,-130861.0,95993.0,-90347.0
5,900.0,1800.0,1,E2:40:70:3D:BC:F4,APPLE_FINDMY,1,0.025,0.9939567513208981,0,MATCH,-1000000000000.0,1,30433.0,111566.0,-107246.0,108685.0,-101528.0
5,900.0,1800.0,1,E0:5F:3B:32:59:C2,APPLE_FINDMY,1,0.024691358024691357,0.9940411115312001,0,MATCH,-1000000000000.0,1,2686.0,120703.0,-115922.0,107871.0,-84485.0
4,900.0,1800.0,1,F7:26:86:12:E5:5C,APPLE_FINDMY,1,0.013793103448275862,0.9933720238383766,0,MATCH,2.59411785691619,1,-29753.0,138878.0,-117195.0,111848.0,-104087.0
4,900.0,1800.0,1,F6:3A:68:D7:41:41,APPLE_FINDMY,1,0.0136986301369863,0.9934202456871714,0,MATCH,1.0387032139022516,1,-42411.0,122388.0,-122182.0,101778.0,-110383.0
9,900.0,1800.0,1,F4:9E:97:6B:A6:63,APPLE_FINDMY,1,0.14285714285714285,0.999999999995889,0,MATCH,5.534863630667113,1,5093.0,99458.0,-82619.0,96432.0,-98131.0
6,900.0,1800.0,1,CE:1F:5B:F3:83:B9,APPLE_FINDMY,1,0.038461538461538464,0.9981582547610351,0,MATCH,-1000000000000.0,1,-8180.0,150280.0,-153772.0,106428.0,-108780.0
1,900.0,1800.0,1,D1:E5:49:B3:E4:24,APPLE_FINDMY,1,0.008620689655172414,0.9902318375908281,0,MATCH,-1000000000000.0,1,-38902.0,119757.0,-105982.0,93461.0,-95214.0
4,900.0,1800.0,1,F4:EC:4F:3E:12:9B,APPLE_FINDMY,1,0.013605442176870748,0.9934678332503845,0,MATCH,4.523486551395462,1,-1543.0,116409.0,-95997.0,88497.0,-95326.0
4,900.0,1800.0,1,C0:37:CA:9B:31:34,APPLE_FINDMY,1,0.013513513513513514,0.9935147982175696,0,MATCH,1.9070995967852118,1,-4998.0,115926.0,-114029.0,86157.0,-104390.0
5,900.0,1800.0,1,FA:B3:CB:A4:6D:B0,APPLE_FINDMY,1,0.024390243902439025,0.9941233357345753,0,MATCH,1.8394628877700947,1,-9411.0,113224.0,-109741.0,113516.0,-106212.0
4,900.0,1800.0,1,EC:D3:74:63:13:24,APPLE_FINDMY,1,0.013422818791946308,0.9935611520114916,0,MATCH,8.305955828726747,1,-30990.0,85388.0,-143014.0,108973.0,-112856.0
6,900.0,1800.0,1,F2:9C:A2:9C:45:0A,APPLE_FINDMY,1,0.03773584905660377,0.9964782990709976,0,MATCH,-1000000000000.0,1,-5919.0,130494.0,-118184.0,104615.0,-103166.0
14,900.0,1800.0,1,4E:2B:BE:46:27:91,SAMSUNG_SMARTTAG,1,1.0,0.0,0,SPAWN,,1,6589.0,112059.0,-129517.0,98374.0,-106234.0
1,900.0,1800.0,1,D6:80:1B:D7:AF:AF,APPLE_FINDMY,1,0.008583690987124463,0.9902661302677258,0,MATCH,1.4089500982282204,1,2608.0,135708.0,-123736.0,100704.0,-102279.0
