pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz,_group
5416,1769128236.624476,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,6381.077945,7331.382703,6381.077665,347075.225699,246158.434355,0.948755,-80.034975,85.5,15291.5825,24.271972,127659.574468,376.0,2745.785156,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,9861.456055,1435.028564,95688784,95689536,267.836452,-6868.479333,7302.711281,12263.74973,
5417,1769128236.67882,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,6663.697543,7240.475871,6663.698039,345724.773897,281003.604339,0.950318,-79.980562,85.5,15238.874497,24.193695,127659.574468,376.0,2444.398682,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,13473.666016,1476.514038,95688785,95689537,2590.157162,-3831.412493,8479.506583,6400.145101,
5608,1769128240.5745356,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,7991.554682,6432.717262,7991.553541,235685.525661,199402.577914,1.07688,-8.438031,88.5,18905.374021,24.519187,125000.0,376.0,5446.26123,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,3435.256592,4357.968262,99689075,99689827,746.583605,-6635.121505,3889.694027,21692.210654,
5832,1769128245.1177282,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,4322.521981,7501.392303,4322.522106,327418.324544,236489.549347,0.958878,80.478355,93.5,12191.811632,24.415709,125000.0,376.0,1914.092529,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,-16691.248047,-1039.754028,103690823,103691575,-660.774606,-5752.375525,3932.909393,7486.96339,
6083,1769128249.1350667,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,5808.299587,8204.30597,5808.299041,326063.215643,243802.900463,0.999645,-45.198002,97.0,14270.233255,24.760834,125000.0,376.0,3242.547607,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,5623.040039,-4345.543945,107694594,107695346,-1377.862312,-8323.29656,11198.514688,9024.250064,
6084,1769128249.1934464,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,6028.914804,8076.479233,6028.914986,325014.290704,248748.574032,1.000044,-44.97436,97.0,14216.731021,24.743523,125000.0,376.0,2822.158936,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,5623.040039,-4307.870117,107694595,107695347,-684.272731,-4227.233468,7876.417378,8300.880603,
6300,1769128253.4253812,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,-9558.882963,3322.723019,-9558.88414,227836.187503,186382.350877,0.975257,-66.842801,1.0,13317.42426,24.34605,125000.0,376.0,-5179.493164,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,17084.943359,4276.480469,111705164,111705916,-16091.119308,-21631.839342,-8944.094677,-5184.809297,
6484,1769128257.4311256,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2488.344653,7750.133666,2488.345676,343848.690833,263641.122877,1.016318,35.606287,91.0,9981.442665,24.455546,125000.0,376.0,1568.870117,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,29640.447266,-5917.989258,115717030,115717782,-6044.273135,-7289.861113,4205.50948,7701.926379,
6485,1769128257.5157895,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2802.517371,7666.204797,2802.518226,343885.555172,272336.715206,1.016712,35.026042,91.0,9928.047089,24.44868,125000.0,376.0,1245.991455,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,29973.652344,-5923.199707,115717031,115717783,-6097.649385,-5714.509612,5471.854058,5889.736271,
6691,1769128262.1677823,37,0,d1:c0:8c:81:3b:e6,8E89BED6,APPLE,e63b818cc0d11eff4c0012192051b90223311ef5766d26075010af560748292d3c9a7901fc,2703.179901,7321.429104,2703.179176,319940.399393,245366.13911,1.007487,-40.676777,97.0,11379.980208,24.200678,125000.0,376.0,3039.18457,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,4417.366211,7442.411133,119721745,119722497,-3870.963955,-9564.702097,4847.644202,8534.061739,
