pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
37,1763953284.722948790,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10133.012416,-10133.012416,-10133.012416,217107.983560,217107.983560,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10133.012695,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-13789.804688,-6121.286621,81211117,81211501
40,1763953285.181176662,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10376.465261,-10376.465261,-10376.465261,245160.855572,245160.855572,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10376.464844,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-12491.536133,-617.914551,85213479,85213863
41,1763953285.668602943,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9895.871401,-9895.871401,-9895.871401,235545.008552,235545.008552,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9895.871094,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,9129.720703,-5827.234863,89219945,89220329
42,1763953285.668997526,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10609.216766,-10609.216766,-10609.216766,235374.057688,235374.057688,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10609.216797,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,8478.883789,-5624.306152,89219946,89220330
43,1763953286.119491100,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9493.689422,-9493.689422,-9493.689422,278888.004549,278888.004549,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9493.689453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57066.113281,3307.337158,93220821,93221205
44,1763953286.119758368,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9839.004092,-9839.004092,-9839.004092,279918.667101,279918.667101,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9839.003906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57066.113281,3614.064941,93220822,93221206
45,1763953286.567375422,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9578.899732,-9578.899732,-9578.899732,297514.024205,297514.024205,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9578.899414,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,32395.251953,2170.604980,97223963,97224347
46,1763953286.567551851,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10270.501048,-10270.501048,-10270.501048,299626.997435,299626.997435,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10270.500977,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,32395.251953,2523.462646,97223964,97224348
47,1763953287.033318758,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10330.812956,-10330.812956,-10330.812956,259008.475217,259008.475217,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10330.812500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17309.378906,-5830.217773,101232767,101233151
48,1763953287.033493042,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10997.611636,-10997.611636,-10997.611636,259523.465591,259523.465591,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10997.611328,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,5471.941895,-5623.160156,101232768,101233152
50,1763953287.469703674,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9479.310255,-9479.310255,-9479.310255,258177.719240,258177.719240,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9479.310547,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57309.996094,-2531.382324,105237433,105237817
51,1763953287.469907045,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9901.106748,-9901.106748,-9901.106748,260057.216728,260057.216728,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9901.106445,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,57309.996094,-2175.745605,105237434,105237818
52,1763953287.922898293,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10575.685227,-10575.685227,-10575.685227,232889.740322,232889.740322,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10575.685547,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-18634.203125,-2889.104980,109236379,109236763
53,1763953288.371729136,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10023.623137,-10023.623137,-10023.623137,254290.682772,254290.682772,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10023.623047,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-6093.794434,-1963.407349,113232215,113232599
54,1763953288.803867817,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-11314.635525,-11314.635525,-11314.635525,256317.362205,256317.362205,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-11314.635742,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-916.104858,-8181.914551,117228691,117229075
55,1763953288.804075480,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-11410.896734,-11410.896734,-11410.896734,256374.330720,256374.330720,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-11410.896484,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-3339.053711,-8039.321777,117228692,117229076
56,1763953289.254286766,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10903.779407,-10903.779407,-10903.779407,253876.436492,253876.436492,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10903.779297,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-8623.136719,-10770.279297,121227573,121227957
57,1763953289.683159590,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10332.782840,-10332.782840,-10332.782840,251872.943118,251872.943118,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10332.783203,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,33541.289062,-5435.007324,125223863,125224247
58,1763953289.683382988,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10650.030141,-10650.030141,-10650.030141,252020.764283,252020.764283,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10650.030273,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,33541.289062,-5132.305176,125223864,125224248
59,1763953290.129009008,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10315.824071,-10315.824071,-10315.824071,256726.936842,256726.936842,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10315.824219,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,21977.248047,-8297.077148,129222515,129222899
60,1763953290.593644142,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10456.818150,-10456.818150,-10456.818150,230079.397923,230079.397923,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10456.818359,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17431.308594,-5575.859375,133224225,133224609
61,1763953290.593967676,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10779.680534,-10779.680534,-10779.680534,230711.086670,230711.086670,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10779.680664,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,17431.308594,-5362.879883,133224226,133224610
62,1763953291.040753365,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9656.055684,-9656.055684,-9656.055684,254692.203778,254692.203778,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9656.055664,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,55890.796875,-5439.698242,137226311,137226695
63,1763953291.040971756,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10017.962556,-10017.962556,-10017.962556,254977.390955,254977.390955,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10017.962891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,55890.796875,-5218.732422,137226312,137226696
64,1763953291.482004881,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9289.270164,-9289.270164,-9289.270164,259115.665794,259115.665794,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9289.270508,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,54536.257812,812.846558,141233638,141234022
65,1763953291.482258320,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-9912.727788,-9912.727788,-9912.727788,259143.656127,259143.656127,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-9912.727539,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,52257.980469,1143.773560,141233639,141234023
66,1763953291.938594580,37,0,FE:EB:63:B2:F1:A7,8E89BED6,-10264.001118,-10264.001118,-10264.001118,265241.929500,265241.929500,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-10264.000977,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,15535.230469,-5142.533203,145231599,145231983
