pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
40,1763945741.443841696,37,0,EF:A9:A5:13:12:03,8E89BED6,15928.272131,15928.272131,15928.272131,187608.801122,187608.801122,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,15928.272461,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1978.683472,11335.647461,7101908,7102292
41,1763945741.453765154,37,0,EA:AC:D0:7E:E8:F9,8E89BED6,11782.514368,11782.514368,11782.514368,347550.590111,347550.590111,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,11782.514648,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,68109.789062,17607.601562,7193983,7194735
42,1763945741.454113960,37,0,EA:AC:D0:7E:E8:F9,8E89BED6,11229.317042,11229.317042,11229.317042,347116.007410,347116.007410,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,11229.317383,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,60733.468750,17508.271484,7193984,7194736
43,1763945741.466362476,37,0,C9:ED:EB:5B:F4:CA,8E89BED6,2491.084919,2491.084919,2491.084919,342466.307129,342466.307129,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,2491.084961,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-2345.038818,6813.232910,7321683,7322435
44,1763945741.469244242,37,0,F4:8E:B3:4F:EE:4E,8E89BED6,-77967.311815,-77967.311815,-77967.311815,229322.905074,229322.905074,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-77967.312500,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-197164.187500,-82401.781250,7345233,7345617
45,1763945741.478948593,37,0,CA:CD:F5:BB:09:BC,8E89BED6,29897.022564,29897.022564,29897.022564,176798.880586,176798.880586,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,29897.023438,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,37795.949219,22849.039062,7431367,7431751
46,1763945741.541220903,37,0,CD:6E:A0:0F:6C:D2,8E89BED6,-10989.356311,-10989.356311,-10989.356311,342324.032596,342324.032596,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-10989.356445,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,1204.096802,5532.715820,7945632,7946384
47,1763945741.542058229,37,0,CD:6E:A0:0F:6C:D2,8E89BED6,-11504.218591,-11504.218591,-11504.218591,342444.436295,342444.436295,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,-11504.218750,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-2262.761475,5476.036133,7945633,7946385
48,1763945741.563867807,37,0,C7:6E:99:9C:74:51,8E89BED6,-29426.549031,-29426.549031,-29426.549031,234598.816409,234598.816409,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-29426.548828,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-55574.910156,-26229.490234,8013754,8014138
49,1763945741.579130173,37,0,C8:DA:65:E6:40:6A,8E89BED6,-18007.376647,-18007.376647,-18007.376647,248945.264304,248945.264304,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-18007.376953,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-59098.074219,-20938.654297,8193603,8193987
50,1763945741.579356194,37,0,C8:DA:65:E6:40:6A,8E89BED6,-19101.838216,-19101.838216,-19101.838216,248533.383425,248533.383425,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-19101.837891,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-59098.074219,-21235.216797,8193604,8193988
51,1763945741.595914125,37,0,D4:B9:4D:DA:91:01,8E89BED6,18257.683441,18257.683441,18257.683441,351735.563267,351735.563267,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376.000000,18257.683594,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,61745.222656,14006.162109,8392659,8393411
