pkt_idx,timestamp,rf_channel,pdu_type,AdvA,access_address,tag_type,payload,CFO_Hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end,CFO_00_Hz,CFO_11_Hz,CFO_10_Hz,CFO_01_Hz
148,1769128137.040921926,37,0,68:8E:C0:6E:F9:86,8E89BED6,SAMSUNG,86f96ec08e6802010403025afd17165afd132df902b8d92caa6cfd96a2a700000044f69592,2976.900300,6148.093630,2976.899594,366573.583422,285342.203598,1.009953,-38.660558,2.500000,22105.529893,25.844547,119680.851064,376.000000,15934.422852,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,6827.914062,7026.320312,2143524,2144276,-11352.356417,40469.900655,16269.250202,-15048.543833
152,1769128137.094017029,37,0,C2:A9:D2:5A:C1:12,8E89BED6,APPLE,12c15ad2a9c21eff4c00121920414044c8368365e69c2b486ba97732d552b5af94acb10212,2795.558615,2849.350656,2795.558631,324106.718853,232035.998904,0.902675,83.900848,80.500000,21187.620415,25.370723,196808.510638,376.000000,2980.366211,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-5298.847656,17332.378906,2209694,2210446,17404.085659,-42083.190046,21992.145367,7678.514113
180,1769128137.385985136,37,0,DC:D9:17:9B:A7:45,8E89BED6,TILE,45a79b17d9dc0201060303edfe0d16edfe0200bc67d7ddc81db0fc,1631.836450,-2270.188572,1631.835842,278432.171129,215572.739344,0.929883,-83.246803,19.500000,-119.373445,21.702958,364864.864865,296.000000,5576.689453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,6979.874512,10489.035156,2760435,2761027,-11716.505854,-5447.311109,-7825.538193,60510.800189
196,1769128137.638404846,37,0,E2:F7:C5:38:1A:0E,8E89BED6,APPLE,0e1a38c5f7e21eff4c001219201ce71bf7087f95c969a3de7bf212c714f91c8ee498b0020e,6290.394987,8146.634180,6290.396535,349784.092626,260217.596077,0.937267,88.191992,2.500000,7067.900235,20.483210,183510.638298,376.000000,2891.751221,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,16919.009766,14518.618164,3037605,3038357,-16846.256114,49427.610138,-31144.310895,36127.760890
197,1769128137.685126543,37,0,E2:F7:C5:38:1A:0E,8E89BED6,APPLE,0e1a38c5f7e21eff4c001219201ce71bf7087f95c969a3de7bf212c714f91c8ee498b0020e,5816.464334,8012.838028,5816.464255,349241.324370,284734.029858,0.935890,88.507917,2.500000,6974.221138,20.514842,183510.638298,376.000000,2695.689941,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,16661.337891,14527.256836,3037606,3038358,1981.049514,39182.656954,-21744.481501,9691.198273
201,1769128137.734917164,37,0,EA:FD:AD:73:D6:67,8E89BED6,APPLE,67d673adfdea1eff4c001219102dd34a6749ba8a19f45da2a505ab9c62e7c578ca26570067,18368.627798,6989.250582,18368.628491,350529.736166,251150.876769,0.938818,-73.955847,2.000000,27927.149774,24.732131,146276.595745,376.000000,5922.573242,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4617.859863,-3553.394531,3104316,3105068,22886.643158,-4796.392663,19132.805638,21827.290101
202,1769128137.779293776,37,0,EA:FD:AD:73:D6:67,8E89BED6,APPLE,67d673adfdea1eff4c001219102dd34a6749ba8a19f45da2a505ab9c62e7c578ca26570067,17817.003235,6892.124456,17817.001746,350228.802649,287343.563547,0.940646,-73.593959,2.000000,27800.974747,24.704883,146276.595745,376.000000,5572.744141,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,4617.859863,-3485.986572,3104317,3105069,22355.885389,1515.417684,26227.404052,12700.064922
217,1769128137.840984106,37,0,C2:97:CC:47:79:BF,8E89BED6,TILE,bf7947cc97c20201060d16edfe0200740594c0b1a3ac580303edfe,15701.482645,1447.854244,15701.483617,280139.181412,221029.757190,0.941964,77.030717,0.500000,19033.740587,23.543114,277027.027027,296.000000,11181.045898,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-27237.156250,8755.682617,3254026,3254618,18136.901934,20636.080547,-2609.802883,14053.933365
218,1769128137.869788885,37,0,C2:97:CC:47:79:BF,8E89BED6,TILE,bf7947cc97c20201060d16edfe0200740594c0b1a3ac580303edfe,15958.716318,1364.363332,15958.718643,280075.959216,238193.209685,0.943927,76.975475,0.500000,18703.654664,23.491274,277027.027027,296.000000,10817.910156,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-27237.156250,8777.189453,3254027,3254619,13483.124088,30333.799116,10965.069432,-1743.303821
235,1769128138.129636049,37,0,F8:F5:DB:6D:10:95,8E89BED6,APPLE,95106ddbf5f81eff4c001219205a0115950b6edd405a6cd6d5fec21b9b71ced47677960095,12296.342545,7787.552972,12296.342148,364265.039268,265792.458888,0.938934,79.779433,3.000000,5755.179253,23.040838,305851.063830,376.000000,4707.086426,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,55911.031250,-2732.177734,3639607,3640359,988.763848,-15769.100112,-3533.049790,60162.913518
