pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,cfo_quick_hz_fixed,cfo_centroid_hz_fixed,cfo_two_stage_hz_fixed,cfo_coarse_hz_fixed,cfo_consensus_hz
75,1761665699.591420,37,0,d3:aa:11:c3:69:90,8E89BED6,-8301.790039,5108.451660,-9172.222656,572905.000000,406605.375000,0.923735,74.582815,0.000000,-15250.712420,11.794344,48611.111111,576.000000,2927.673340,-8301.790039,-5108.451660,-9172.222656,-2927.673340,-6705.120849
76,1761665700.115842,37,0,d3:aa:11:c3:69:90,8E89BED6,23568.566406,5494.554199,38077.125000,547431.562500,389580.562500,1.014378,31.742679,1.000000,23861.938772,11.101044,1770833.333333,576.000000,8213.263672,23568.566406,5494.554199,38077.125000,8213.263672,15890.915039
77,1761665700.220511,37,0,d3:aa:11:c3:69:90,8E89BED6,23568.566406,5494.554199,38077.125000,547431.562500,389580.562500,1.014378,31.742679,1.000000,23861.938772,11.101044,1770833.333333,576.000000,8213.263672,23568.566406,5494.554199,38077.125000,8213.263672,15890.915039
78,1761665700.819993,37,0,d3:aa:11:c3:69:90,8E89BED6,37955.707031,-1835.854858,17871.468750,563771.750000,398835.687500,1.001981,43.558649,0.500000,69292.435544,10.413032,1350694.444444,576.000000,-902.861816,37955.707031,1835.854858,17871.468750,902.861816,9853.661804
79,1761665701.553088,37,0,d3:aa:11:c3:69:90,8E89BED6,5074.056641,2865.102539,31231.632812,552632.500000,392232.156250,1.008389,10.837974,0.500000,-19238.967405,13.800168,838541.666667,576.000000,3785.097168,5074.056641,2865.102539,31231.632812,3785.097168,4429.576904
80,1761665702.181544,37,0,d3:aa:11:c3:69:90,8E89BED6,-43672.429688,317.463593,-34229.238281,546085.125000,377970.218750,0.979259,-86.180643,0.000000,16411.834835,16.072316,0.000000,576.000000,-11814.073242,-43672.429688,-317.463593,-34229.238281,-11814.073242,-23021.655761
81,1761665702.279211,37,0,d3:aa:11:c3:69:90,8E89BED6,-43672.429688,317.463593,-34229.238281,546085.125000,377970.218750,0.979259,-86.180643,0.000000,16411.834835,16.072316,0.000000,576.000000,-11814.073242,-43672.429688,-317.463593,-34229.238281,-11814.073242,-23021.655761
82,1761665702.811971,37,0,d3:aa:11:c3:69:90,8E89BED6,-12965.149414,-13400.449219,-16987.902344,143820.359375,113665.125000,0.981693,-51.449929,0.000000,-87636.304925,21.779147,315972.222222,576.000000,-48897.515625,-12965.149414,-13400.449219,-16987.902344,-48897.515625,-15194.175781
83,1761665702.907939,37,0,d3:aa:11:c3:69:90,8E89BED6,-12965.149414,-13400.449219,-16987.902344,143820.359375,113665.125000,0.981693,-51.449929,0.000000,-87636.304925,21.779147,315972.222222,576.000000,-48897.515625,-12965.149414,-13400.449219,-16987.902344,-48897.515625,-15194.175781
84,1761665703.447597,37,0,d3:aa:11:c3:69:90,8E89BED6,-6223.821777,-419.969666,-11718.138672,551808.812500,365780.218750,0.989496,79.300124,0.500000,-5653.589952,13.335376,375000.000000,576.000000,-5223.592285,-6223.821777,-419.969666,-11718.138672,-5223.592285,-5723.707031
