src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-2s_rot-5min.csv,0,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,2.0,300.0,2s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-15s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,900.0,15s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-2s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,2.0,900.0,2s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-15s_rot-10s.csv,1,TAG_APPLE,13,1800.0,13,,,,4.607295099894692,1.0,1.0,15.0,10.0,15s,10s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-15s_rot-5min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,300.0,15s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-1min_rot-30s.csv,0,TAG_APPLE,6,1800.0,6,,,,2.4499439204940128,1.0,1.0,60.0,30.0,1min,30s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-1min_rot-2s.csv,0,TAG_APPLE,6,1800.0,6,,,,2.4499439204940128,1.0,1.0,60.0,2.0,1min,2s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-1min_rot-10s.csv,0,TAG_APPLE,6,1800.0,6,,,,2.4499439204940128,1.0,1.0,60.0,10.0,1min,10s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-2s_rot-1min.csv,1,TAG_APPLE,6,1800.0,6,,,,4.907304926266962,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-15s_rot-2s.csv,0,TAG_APPLE,15,3600.0,15,,,,3.3007119507356495,1.0,1.0,15.0,2.0,15s,2s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,10,1800.0,10,,,,5.377789858224201,1.0,1.0,10.0,30.0,10s,30s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-30s_rot-10s.csv,2,TAG_APPLE,7,1800.0,7,,,,2.8494803269706366,1.0,1.0,30.0,10.0,30s,10s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-10s_rot-2s.csv,2,TAG_APPLE,20,1800.0,20,,,,2.6801490315641865,1.0,1.0,10.0,2.0,10s,2s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-1min_rot-5min.csv,0,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,60.0,300.0,1min,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-2s_rot-30s.csv,2,TAG_APPLE,12,1800.0,12,,,,5.117504272671204,1.0,1.0,2.0,30.0,2s,30s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-30s_rot-5min.csv,2,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,30.0,300.0,30s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-2s_rot-10s.csv,0,TAG_APPLE,25,1800.0,25,,,,3.5882893455910927,1.0,1.0,2.0,10.0,2s,10s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-30s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,30.0,900.0,30s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-30s_rot-30s.csv,2,TAG_APPLE,10,1800.0,10,,,,3.2884747228251427,1.0,1.0,30.0,30.0,30s,30s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-10s_rot-1min.csv,2,TAG_APPLE,6,1800.0,6,,,,1.2217139499775727,1.0,1.0,10.0,60.0,10s,1min,True,True,True,True,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-2s_rot-2s.csv,0,TAG_APPLE,43,1800.0,43,,,,2.6074832102859884,1.0,1.0,2.0,2.0,2s,2s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-30s_rot-2s.csv,2,TAG_APPLE,8,1800.0,8,,,,3.216123388115896,1.0,1.0,30.0,2.0,30s,2s,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-10s_rot-10s.csv,2,TAG_APPLE,6,1800.0,6,,,,0.7541904029562456,1.0,1.0,10.0,10.0,10s,10s,True,True,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fd__20260130_040946/scenario_tx-30s_rot-1min.csv,2,TAG_APPLE,6,1800.0,6,,,,3.7775699928564173,1.0,1.0,30.0,60.0,30s,1min,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-10s_rot-15min.csv,3,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,10.0,900.0,10s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-15s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,900.0,15s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-15s_rot-10s.csv,2,TAG_APPLE,7,1800.0,7,,,,1.5136343766375397,1.0,1.0,15.0,10.0,15s,10s,True,True,True,True,True,True,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-10s_rot-5min.csv,1,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,10.0,300.0,10s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-1min_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,900.0,1min,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-15s_rot-5min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,300.0,15s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-10s_rot-2s.csv,0,TAG_APPLE,27,3600.0,26,,,,1.0215956801688062,1.0,1.0,10.0,2.0,10s,2s,True,True,True,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-10s_rot-30s.csv,2,TAG_APPLE,12,1800.0,12,,,,1.2664825056795523,1.0,1.0,10.0,30.0,10s,30s,True,True,True,True,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-1min_rot-2s.csv,2,TAG_APPLE,6,1800.0,6,,,,1.0911583473324267,1.0,1.0,60.0,2.0,1min,2s,True,True,True,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-1min_rot-30s.csv,2,TAG_APPLE,6,1800.0,6,,,,1.0911583473324267,1.0,1.0,60.0,30.0,1min,30s,True,True,True,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-15s_rot-1min.csv,2,TAG_APPLE,6,1800.0,6,,,,1.1647955844134998,1.0,1.0,15.0,60.0,15s,1min,True,True,True,True,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-2s_rot-15min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,2.0,900.0,2s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-1min_rot-5min.csv,1,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,60.0,300.0,1min,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-30s_rot-15min.csv,3,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,30.0,900.0,30s,15min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-2s_rot-1min.csv,2,TAG_APPLE,6,1800.0,6,,,,2.0283946129526513,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,True,True
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-15s_rot-2s.csv,2,TAG_APPLE,7,1800.0,7,,,,1.5136343766375395,1.0,1.0,15.0,2.0,15s,2s,True,True,True,True,True,True,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-1min_rot-10s.csv,2,TAG_APPLE,6,1800.0,6,,,,1.0911583473324267,1.0,1.0,60.0,10.0,1min,10s,True,True,True,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-30s_rot-5min.csv,2,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,30.0,300.0,30s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-15s_rot-30s.csv,2,TAG_APPLE,8,1800.0,8,,,,1.0329573845089466,1.0,1.0,15.0,30.0,15s,30s,True,True,True,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-1min_rot-1min.csv,3,TAG_APPLE,4,1800.0,4,,,,0.9399375755033575,1.0,1.0,60.0,60.0,1min,1min,True,True,True,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-2s_rot-30s.csv,1,TAG_APPLE,11,1800.0,11,,,,1.4311510255891442,1.0,1.0,2.0,30.0,2s,30s,True,True,True,True,True,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-2s_rot-2s.csv,2,TAG_APPLE,23,1800.0,23,,,,1.2367568536576365,1.0,1.0,2.0,2.0,2s,2s,True,True,True,True,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-2s_rot-10s.csv,2,TAG_APPLE,18,1800.0,18,,,,0.9428679480692055,1.0,1.0,2.0,10.0,2s,10s,True,True,True,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-2s_rot-5min.csv,1,TAG_APPLE,2,1800.0,2,,,,0.0,1.0,1.0,2.0,300.0,2s,5min,False,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-30s_rot-1min.csv,0,TAG_APPLE,6,1800.0,6,,,,0.6762196348325656,1.0,1.0,30.0,60.0,30s,1min,True,False,False,False,False,False,False,False
controlled/Car_Trip/scenarios_car_trip_final__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_040914/scenario_tx-30s_rot-10s.csv,1,TAG_APPLE,3,1800.0,3,,,,1.0235395672474588,1.0,1.0,30.0,10.0,30s,10s,True,True,True,False,False,False,False,False
