file,adv_addr,pdu_type,access_address,pcap_ts,bw_3db_hz,cfo_centroid_hz,cfo_hz,cfo_preaa_hz,cfo_std_hz,cfo_std_hz_sym,cfo_two_stage_coarse_hz,cfo_two_stage_hz,cfo_two_stage_score,gated_len_us,i_std,iq_gain_alpha,iq_phase_deg,mag_mean,psd_centroid_hz,psd_pnr_db,q_std,rise_time_us
pkt_000065.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613525.327448,1881097.5609756096,nan,nan,nan,nan,nan,nan,nan,nan,328.0,0.7255377769470215,1.054281234741211,2.471266056668405,0.876811146736145,-18628.01355195517,9.221159361780138,0.6881823539733887,0.0
pkt_000066.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613525.327489,1881097.5609756096,nan,nan,nan,nan,nan,nan,nan,nan,328.0,0.7255377769470215,1.054281234741211,2.471266056668405,0.876811146736145,-18628.01355195517,9.221159361780138,0.6881823539733887,0.0
pkt_000067.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613525.827670,1658163.2653061226,nan,nan,nan,nan,nan,nan,nan,nan,392.0,0.6726915836334229,0.9091373085975647,82.61226788895935,0.8782505989074707,45291.264931602804,9.48769183964754,0.7399230003356934,1.0
pkt_000068.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613525.827791,1658163.2653061226,nan,nan,nan,nan,nan,nan,nan,nan,392.0,0.6726915836334229,0.9091373085975647,82.61226788895935,0.8782505989074707,45291.264931602804,9.48769183964754,0.7399230003356934,1.0
pkt_000069.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613526.332584,849489.7959183675,7149.253923970458,-50726.13113432682,nan,544557.125,362493.5887303621,-500.0191714024377,-30044.780291236013,0.549999999999826,392.0,0.6975027918815613,0.9733747243881226,-53.475648081099045,0.8850736021995544,-27965.66460951943,12.093314087104234,0.7165820002555847,0.0
pkt_000070.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613526.332761,849489.7959183675,7149.253923970458,-50726.13113432682,nan,544557.125,362493.5887303621,-500.0191714024377,-30044.780291236013,0.549999999999826,392.0,0.6975027918815613,0.9733747243881226,-53.475648081099045,0.8850736021995544,-27965.66460951943,12.093314087104234,0.7165820002555847,0.0
pkt_000071.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613526.923248,1459183.673469388,-17057.554316789905,-4943.355044331201,-24638.391982598903,576354.5,409220.3693132158,-14212.06777810251,nan,0.4499999999998576,392.0,0.6988574266433716,0.9770663976669312,-58.13947618985888,0.8789871335029602,-41774.75409138304,10.298550864250073,0.715260922908783,0.0
pkt_000072.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613526.923605,1459183.673469388,-17057.554316789905,-4943.355044331201,-24638.391982598903,576354.5,409220.3693132158,-14212.06777810251,nan,0.4499999999998576,392.0,0.6988574266433716,0.9770663976669312,-58.13947618985888,0.8789871335029602,-41774.75409138304,10.298550864250073,0.715260922908783,0.0
pkt_000073.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613527.577942,2551.0204081632655,-6204.57967593012,37584.44637192724,55793.121199661546,551429.4375,401354.5698371428,3834.9067103163134,nan,0.39999999999987346,392.0,0.6965887546539307,0.9708951115608215,61.301737799128745,0.8978338241577148,33765.0678433396,14.092277137404617,0.717470645904541,2.0
pkt_000074.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613528.138301,1640306.1224489799,-1002.5986600315345,31069.35896721787,nan,563255.25,399102.1956106641,-4843.423804549208,-43674.862846700606,0.4999999999998418,392.0,0.690997302532196,0.9559248089790344,-72.04090498076772,0.8812070488929749,30088.78438645347,10.60662234212128,0.7228573560714722,1.5
pkt_000075.fc32,df:62:ef:89:f6:2f,0,8E89BED6,1761613528.138427,1640306.1224489799,-1002.5986600315345,31069.35896721787,nan,563255.25,399102.1956106641,-4843.423804549208,-43674.862846700606,0.4999999999998418,392.0,0.690997302532196,0.9559248089790344,-72.04090498076772,0.8812070488929749,30088.78438645347,10.60662234212128,0.7228573560714722,1.5
pkt_000076.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613528.138582,1826219.5121951217,nan,nan,nan,nan,nan,nan,nan,nan,328.0,0.6987729668617249,0.9768357276916504,-55.299281472651124,0.882988691329956,7672.495363815971,9.820072683609117,0.7153433561325073,0.0
pkt_000077.fc32,df:62:ef:89:f6:2f,4,8E89BED6,1761613528.138629,1826219.5121951217,nan,nan,nan,nan,nan,nan,nan,nan,328.0,0.6987729668617249,0.9768357276916504,-55.299281472651124,0.882988691329956,7672.495363815971,9.820072683609117,0.7153433561325073,0.0
