src_file,cluster,dev_type,segments,duration_cov,unique_macs,turnover,singleton_mac_frac,mac_rate_per_min,core_mac_density_scaled,adv_mac_pct,gt_frac,tx_s,rot_s,tx_tok,rot_tok,pass_dens_ge_0.5,pass_dens_ge_0.7,pass_dens_ge_0.9,pass_dens_ge_1.1,pass_dens_ge_1.3,pass_dens_ge_1.5,pass_dens_ge_1.8,pass_dens_ge_2.0
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-15s_rot-1min.csv,3,TAG_APPLE,4,1800.0,4,,,,0.8572234288990982,1.0,1.0,15.0,60.0,15s,1min,True,True,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-10s_rot-5min.csv,1,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,10.0,300.0,10s,5min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-10s_rot-2s.csv,1,TAG_APPLE,9,1800.0,9,,,,1.587317144357045,1.0,1.0,10.0,2.0,10s,2s,True,True,True,True,True,True,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-15s_rot-2s.csv,3,TAG_APPLE,6,1800.0,6,,,,0.8774931465576327,1.0,1.0,15.0,2.0,15s,2s,True,True,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-15s_rot-30s.csv,2,TAG_APPLE,6,1800.0,6,,,,0.8972545287658695,1.0,1.0,15.0,30.0,15s,30s,True,True,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-1min_rot-1min.csv,4,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,60.0,1min,1min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-1min_rot-15min.csv,1,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,900.0,1min,15min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-15s_rot-5min.csv,2,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,15.0,300.0,15s,5min,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-1min_rot-10s.csv,4,TAG_APPLE,1,1800.0,1,,,,0.0,1.0,1.0,60.0,10.0,1min,10s,False,False,False,False,False,False,False,False
controlled/WtoH/scenarios_Work_to_home__adv1_apple0_google0_samsung0_tile0__advtag-4c001219fe__20260130_042621/scenario_tx-2s_rot-1min.csv,1,TAG_APPLE,5,1800.0,5,,,,1.5853677944308546,1.0,1.0,2.0,60.0,2s,1min,True,True,True,True,True,True,False,False
