idx	AdvA	status	method	crc_calc_orig_hex	crc_rx_hex	fix_pos	fix_bit	hp_msb_hex_fixed_or_padded	crc_field_msb_hex_shifted	pad_bits
12794		CRC_BAD	UNFIXED	451693	444324					
12795	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	2c1447	7a1919					
12796	52:41:32:8B:83:1E	CRC_BAD	UNFIXED	53bf13	70e408					
12797	57:A4:BC:C5:0D:C9	ORIG_OK	ORIG_OK	79564b	79564b					
12798	F4:0A:60:DD:7E:C4	CRC_BAD	UNFIXED	24ee29	7a2416					
12799	4A:41:B9:78:EA:1D	CRC_BAD	UNFIXED	e00ef8	01b2ca					
12800	52:5C:3A:99:8C:A3	CRC_BAD	UNFIXED	6b65bb	da872a					
12801	7C:24:AF:57:9B:5D	ORIG_OK	ORIG_OK	919f80	919f80					
12802	F6:72:62:ED:92:3D	CRC_BAD	UNFIXED	096ff8	29e421					
12803	7A:74:59:67:94:F4	ORIG_OK	ORIG_OK	5a662a	5a662a					
12804	44:27:8B:7A:64:72	CRC_BAD	UNFIXED	9ad41b	203c43					
12805	73:F8:F0:FA:28:49	ORIG_OK	ORIG_OK	57c0e9	57c0e9					
12806	D0:6D:78:47:39:4F	CRC_BAD	UNFIXED	d35951	52c3f4					
12807	C6:70:C1:4D:DA:68	CRC_BAD	UNFIXED	16c9bd	6eae23					
12808	CB:F7:96:33:13:13	ORIG_OK	ORIG_OK	e59a28	e59a28					
12809	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	1099ae	86aa25					
12810	FF:E8:62:AC:0E:D2	CRC_BAD	UNFIXED	87534c	c9574c					
12811	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	d92612	abbaac					
12812	7D:C9:C0:BD:85:B3	CRC_BAD	UNFIXED	70cb37	db233f					
12813	EA:32:7A:C5:8D:BF	CRC_BAD	UNFIXED	da4055	544326					
12814	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	7a1919	7af919					
12815	57:A4:BC:C5:0D:C9	CRC_BAD	UNFIXED	ced642	4d044d					
12816	F4:0A:68:DD:7E:C0	CRC_BAD	UNFIXED	622856	7fa416					
12817	DC:D6:44:C7:D7:A6	ORIG_OK	ORIG_OK	4aea26	4aea26					
12818	4A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	365c2b	01b2ca					
12819	52:5C:3A:99:8C:AB	ORIG_OK	ORIG_OK	da872a	da872a					
12820	E9:5A:FB:9E:46:7C	CRC_BAD	UNFIXED	84bbcb	125712					
12821	D5:30:D6:9E:D7:F2	CRC_BAD	UNFIXED	52df7d	c9eb38					
12822	44:27:8B:7A:64:72	CRC_BAD	UNFIXED	837d85	f89847					
12823	C6:70:C1:4D:DA:68	ORIG_OK	ORIG_OK	6eae23	6eae23					
12824	FF:E8:62:AC:0E:D2	ORIG_OK	ORIG_OK	c9574c	c9574c					
12825	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	abbaac	abba9c					
12826	7D:C9:C0:BD:85:B3	CRC_BAD	UNFIXED	efad8a	df033b					
12827	52:90:A9:3D:A7:4C	CRC_BAD	UNFIXED	573d06	2f3093					
12828	75:B8:72:33:E8:54	ORIG_OK	ORIG_OK	7a1919	7a1919					
12829	52:41:32:97:83:1E	CRC_BAD	UNFIXED	0ec61d	70e408					
12830	57:A4:BC:C5:0D:C9	ORIG_OK	ORIG_OK	79564b	79564b					
12831	DC:D6:44:C7:D7:A6	ORIG_OK	ORIG_OK	4aea26	4aea26					
12832	4A:01:B9:78:EA:1D	CRC_BAD	UNFIXED	1f9996	01b2ca					
12833	4E:AA:AB:D3:4C:09	CRC_BAD	UNFIXED	317b6a	c4581c					
12834	F0:E3:99:3D:ED:D2	CRC_BAD	UNFIXED	1c5970	ef89bb					
12835	52:5C:3A:99:CC:AB	CRC_BAD	UNFIXED	347343	da872a					
12836	D5:30:D4:5B:D7:F2	CRC_BAD	UNFIXED	b3c158	c9eb38					
12837	C5:68:6B:99:6A:C5	ORIG_OK	ORIG_OK	bc4d49	bc4d49					
12838	F6:72:62:ED:92:3D	ORIG_OK	ORIG_OK	29e421	29e421					
12839	C2:97:A0:09:6A:11	ORIG_OK	ORIG_OK	50f847	50f847					
12840	73:F8:F0:FA:28:49	CRC_BAD	UNFIXED	dd3fe7	57c0e9					
12841	44:27:8B:7A:64:72	ORIG_OK	ORIG_OK	203c43	203c43					
12842	C6:70:C1:4D:DB:68	CRC_BAD	UNFIXED	661dfa	6eae23					
12843	CB:F7:96:33:13:13	CRC_BAD	UNFIXED	c1eae3	e59a28					
12844	74:4A:24:AF:44:A3	CRC_BAD	UNFIXED	af302b	abbaac					
12845	52:92:A9:3D:A7:4C	CRC_BAD	UNFIXED	c84686	2f3093					
12846	7B:C9:C0:BD:81:B3	CRC_BAD	UNFIXED	bb0ef7	df233b					
12847	75:B8:72:33:E8:54	CRC_BAD	UNFIXED	44c8ad	7a1919					
12848	EA:32:7A:C5:8D:BF	CRC_BAD	UNFIXED	753192	544326					
12849	F6:FE:7E:BD:D0:B3	CRC_BAD	UNFIXED	af5746	daae11					
12850	F4:0A:68:DD:7E:C0	CRC_BAD	UNFIXED	7fa416	7ca416					
