n,I,Q,mag,phase
268,-0.0412877947,0.0437617227,0.0601645275,2.3271146
269,-0.0412877947,0.0437617227,0.0601645275,2.3271146
270,-0.0412877947,0.0437617227,0.0601645275,2.3271146
271,-0.0412877947,0.0437617227,0.0601645275,2.3271146
272,-0.0412877947,0.0437617227,0.0601645275,2.3271146
273,-0.0412877947,0.0437617227,0.0601645275,2.3271146
274,-0.0412877947,0.0437617227,0.0601645275,2.3271146
275,-0.0412877947,0.0437617227,0.0601645275,2.3271146
276,-0.0412877947,0.0437617227,0.0601645275,2.3271146
277,-0.0412877947,0.0437617227,0.0601645275,2.3271146
278,-0.0412877947,0.0437617227,0.0601645275,2.3271146
279,-0.0412877947,0.0437617227,0.0601645275,2.3271146
280,-0.0412877947,0.0437617227,0.0601645275,2.3271146
281,-0.0412877947,0.0437617227,0.0601645275,2.3271146
282,-0.0412877947,0.0437617227,0.0601645275,2.3271146
283,-0.0412877947,0.0437617227,0.0601645275,2.3271146
284,-0.0412877947,0.0437617227,0.0601645275,2.3271146
285,-0.0412877947,0.0437617227,0.0601645275,2.3271146
286,-0.0412877947,0.0437617227,0.0601645275,2.3271146
287,-0.0412877947,0.0437617227,0.0601645275,2.3271146
288,-0.0412877947,0.0437617227,0.0601645275,2.3271146
289,-0.0412877947,0.0437617227,0.0601645275,2.3271146
290,-0.0412877947,0.0437617227,0.0601645275,2.3271146
291,-0.0412877947,0.0437617227,0.0601645275,2.3271146
292,-0.0412877947,0.0437617227,0.0601645275,2.3271146
293,-0.0412877947,0.0437617227,0.0601645275,2.3271146
294,-0.0412877947,0.0437617227,0.0601645275,2.3271146
295,-0.0412877947,0.0437617227,0.0601645275,2.3271146
296,-0.0412877947,0.0437617227,0.0601645275,2.3271146
297,-0.0412877947,0.0437617227,0.0601645275,2.3271146
298,-0.0412877947,0.0437617227,0.0601645275,2.3271146
299,-0.0412877947,0.0437617227,0.0601645275,2.3271146
300,-0.0412877947,0.0437617227,0.0601645275,2.3271146
301,-0.0412877947,0.0437617227,0.0601645275,2.3271146
302,-0.0412877947,0.0437617227,0.0601645275,2.3271146
303,-0.0412877947,0.0437617227,0.0601645275,2.3271146
304,-0.0412877947,0.0437617227,0.0601645275,2.3271146
305,-0.0412877947,0.0437617227,0.0601645275,2.3271146
306,-0.0412877947,0.0437617227,0.0601645275,2.3271146
307,-0.0412877947,0.0437617227,0.0601645275,2.3271146
308,-0.0412877947,0.0437617227,0.0601645275,2.3271146
309,-0.0412877947,0.0437617227,0.0601645275,2.3271146
310,-0.0412877947,0.0437617227,0.0601645275,2.3271146
311,-0.0412877947,0.0437617227,0.0601645275,2.3271146
312,-0.0412877947,0.0437617227,0.0601645275,2.3271146
313,-0.0412877947,0.0437617227,0.0601645275,2.3271146
314,-0.0412877947,0.0437617227,0.0601645275,2.3271146
315,-0.0412877947,0.0437617227,0.0601645275,2.3271146
316,-0.0412877947,0.0437617227,0.0601645275,2.3271146
317,-0.0412877947,0.0437617227,0.0601645275,2.3271146
318,-0.0412877947,0.0437617227,0.0601645275,2.3271146
319,-0.0412877947,0.0437617227,0.0601645275,2.3271146
320,-0.0412877947,0.0437617227,0.0601645275,2.3271146
321,-0.0412877947,0.0437617227,0.0601645275,2.3271146
322,-0.0412877947,0.0437617227,0.0601645275,2.3271146
323,-0.0412877947,0.0437617227,0.0601645275,2.3271146
324,-0.0412877947,0.0437617227,0.0601645275,2.3271146
325,-0.0412877947,0.0437617227,0.0601645275,2.3271146
326,-0.0412877947,0.0437617227,0.0601645275,2.3271146
327,-0.0412877947,0.0437617227,0.0601645275,2.3271146
328,-0.0412877947,0.0437617227,0.0601645275,2.3271146
329,-0.0412877947,0.0437617227,0.0601645275,2.3271146
330,-0.0412877947,0.0437617227,0.0601645275,2.3271146
331,-0.0412877947,0.0437617227,0.0601645275,2.3271146
332,-0.0412877947,0.0437617227,0.0601645275,2.3271146
333,-0.0412877947,0.0437617227,0.0601645275,2.3271146
334,-0.0412877947,0.0437617227,0.0601645275,2.3271146
335,-0.0412877947,0.0437617227,0.0601645275,2.3271146
336,-0.0412877947,0.0437617227,0.0601645275,2.3271146
337,-0.0412877947,0.0437617227,0.0601645275,2.3271146
338,-0.0412877947,0.0437617227,0.0601645275,2.3271146
339,-0.0412877947,0.0437617227,0.0601645275,2.3271146
340,-0.0412877947,0.0437617227,0.0601645275,2.3271146
341,-0.0412877947,0.0437617227,0.0601645275,2.3271146
342,-0.0412877947,0.0437617227,0.0601645275,2.3271146
343,-0.0412877947,0.0437617227,0.0601645275,2.3271146
344,-0.0412877947,0.0437617227,0.0601645275,2.3271146
345,-0.0412877947,0.0437617227,0.0601645275,2.3271146
346,-0.0412877947,0.0437617227,0.0601645275,2.3271146
347,-0.0412877947,0.0437617227,0.0601645275,2.3271146
