pkt_idx,pcap_ts,rf_channel,pdu_type,adv_addr,access_address,cfo_quick_hz,cfo_centroid_hz,cfo_two_stage_hz,cfo_std_hz,cfo_std_sym_hz,iq_gain_alpha,iq_phase_deg_deg,rise_time_us,psd_centroid_hz,psd_pnr_db,bw_3db_hz,gated_len_us,cfo_two_stage_coarse_hz,joint_fo_hz,joint_I0,joint_Q0,joint_eps,joint_phi_deg,joint_A,joint_iters,joint_cost,cfo_exact_quick_hz,cfo_exact_ls_hz,sample_start,sample_end
43,1763953626.684695721,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39405.607052,-39405.607052,-39405.607052,256434.902391,256434.902391,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39405.605469,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-132212.203125,-53260.902344,143708637,143709021
44,1763953626.684955359,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40298.734416,-40298.734416,-40298.734416,256205.158894,256205.158894,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40298.734375,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-132212.203125,-53864.500000,143708638,143709022
45,1763953627.128928185,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36403.381149,-36403.381149,-36403.381149,241310.276014,241310.276014,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36403.382812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-116193.562500,-53261.683594,147722270,147722654
46,1763953627.129177332,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-37271.195186,-37271.195186,-37271.195186,241052.013518,241052.013518,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-37271.195312,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-116193.562500,-53868.015625,147722271,147722655
47,1763953628.046027184,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-39892.125257,-39892.125257,-39892.125257,256925.939942,256925.939942,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-39892.125000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-108751.828125,-55219.246094,155723033,155723417
48,1763953628.046191454,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40396.261426,-40396.261426,-40396.261426,256854.557686,256854.557686,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40396.261719,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-108751.828125,-55890.433594,155723034,155723418
49,1763953629.364878654,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-40621.004409,-40621.004409,-40621.004409,257194.037470,257194.037470,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-40621.003906,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-76708.960938,-55120.285156,167751550,167751934
51,1763953629.804525614,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36540.133761,-36540.133761,-36540.133761,240081.917336,240081.917336,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36540.132812,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-77277.898438,-53488.894531,171761610,171761994
52,1763953630.258745193,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-35495.731613,-35495.731613,-35495.731613,242865.146794,242865.146794,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-35495.730469,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-129578.828125,-55321.195312,175771594,175771978
53,1763953630.259175062,37,0,DF:A8:8E:E4:BE:2B,8E89BED6,-36521.296829,-36521.296829,-36521.296829,242511.320584,242511.320584,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192.000000,-36521.296875,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0.000000,-129578.828125,-55996.066406,175771595,175771979
