chunk_idx,t_s,t_e,mac,n_rows,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz,cluster,is_flagged_cluster
0,0.0,900.0,EA:90:BB:35:2A:7A,1,-11491.0,156682.0,-126539.0,130590.0,-108060.0,0,1
0,0.0,900.0,DC:C1:DF:54:9C:9A,1,-19401.0,123463.0,-128099.0,97428.0,-108089.0,0,1
0,0.0,900.0,C0:FE:17:FB:E7:54,1,-1364.0,147816.0,-131625.0,117389.0,-114148.0,0,1
0,0.0,900.0,EE:7A:B5:61:88:3E,1,-21835.0,97130.0,-117466.0,123619.0,-102193.0,0,1
0,0.0,900.0,CE:45:28:01:52:AA,1,-15411.0,93668.0,-125864.0,100800.0,-108986.0,0,1
0,0.0,900.0,70:EB:17:EF:6C:D3,1,26843.0,116001.0,-102268.0,99681.0,-103980.0,0,1
0,0.0,900.0,F9:3C:CD:7B:6C:9F,1,6861.0,108949.0,-108241.0,98323.0,-115764.0,0,1
0,0.0,900.0,D9:13:4E:C9:12:9A,1,6854.0,130861.0,-137797.0,124475.0,-119442.0,0,1
0,0.0,900.0,EE:7F:69:F8:6A:44,21,1791.5238095238096,145777.7142857143,-123147.28571428571,124624.09523809524,-119201.71428571429,0,1
0,0.0,900.0,EF:7C:B5:02:A3:17,1,-12864.0,128583.0,-138484.0,123331.0,-94489.0,0,1
0,0.0,900.0,F2:7D:75:72:62:88,1,-30326.0,143867.0,-138850.0,114764.0,-114962.0,0,1
0,0.0,900.0,D1:61:23:9A:9D:39,1,-3040.0,148368.0,-141513.0,112138.0,-117892.0,0,1
0,0.0,900.0,DC:9D:17:B4:B2:0A,1,0.0,144093.0,-71908.0,127662.0,-88532.0,-1,0
0,0.0,900.0,FF:7C:81:0A:A3:17,1,-11451.0,98404.0,-114961.0,121488.0,-75341.0,-1,0
0,0.0,900.0,EE:7F:69:F8:2A:44,1,-7.0,152846.0,-118895.0,129746.0,-122213.0,0,1
0,0.0,900.0,C5:D1:7F:C2:D5:0E,1,-30114.0,110193.0,-105818.0,102845.0,-101900.0,0,1
0,0.0,900.0,D3:75:AF:15:52:72,1,25788.0,138369.0,-113567.0,134257.0,-120816.0,-1,0
0,0.0,900.0,EE:78:B5:53:A5:BA,1,-23482.0,104498.0,-112190.0,110988.0,-100029.0,0,1
0,0.0,900.0,EE:BE:19:52:D0:6A,1,-46207.0,130983.0,-119091.0,77172.0,-91826.0,-1,0
0,0.0,900.0,FD:7A:66:E0:28:51,1,-18219.0,147228.0,-142470.0,117527.0,-120902.0,0,1
0,0.0,900.0,DC:9D:17:B6:A2:0A,1,-27527.0,115665.0,-95281.0,107598.0,-102136.0,0,1
0,0.0,900.0,FD:3A:3F:30:76:F4,1,-31838.0,91602.0,-136075.0,83997.0,-112084.0,0,1
0,0.0,900.0,E4:98:2F:C6:F1:1B,1,-63811.0,101399.0,-119392.0,66441.0,-108105.0,-1,0
0,0.0,900.0,DF:68:B7:CA:0B:A9,23,-679.1304347826087,130526.21739130435,-131991.91304347827,104518.34782608696,-111897.39130434782,0,1
0,0.0,900.0,EE:7F:69:F8:6A:60,1,0.0,175095.0,-131780.0,130633.0,-127520.0,-1,0
0,0.0,900.0,E9:F5:C9:AA:C2:B4,1,-4523.0,112780.0,-115807.0,94282.0,-102591.0,0,1
0,0.0,900.0,AF:79:A5:0A:A3:17,1,0.0,118458.0,-124872.0,124003.0,-95521.0,0,1
0,0.0,900.0,D3:F7:AB:21:D0:F2,1,-7204.0,114494.0,-82159.0,97158.0,-101445.0,0,1
0,0.0,900.0,FD:3A:33:20:76:F4,10,-23861.1,106326.5,-120220.4,93328.5,-99631.6,0,1
0,0.0,900.0,9D:AE:4B:71:91:E1,1,37789.0,115395.0,-99106.0,97749.0,-90450.0,-1,0
0,0.0,900.0,F0:74:D8:F9:91:D9,1,14113.0,139194.0,-93666.0,113137.0,-83560.0,-1,0
0,0.0,900.0,CF:63:37:C4:DC:F6,1,-29523.0,125377.0,-122949.0,78874.0,-110870.0,0,1
0,0.0,900.0,C4:74:73:9E:15:10,1,-11785.0,115853.0,-132458.0,107877.0,-108886.0,0,1
0,0.0,900.0,F6:EB:2D:30:33:A6,1,6353.0,128723.0,-105147.0,75158.0,-80048.0,-1,0
0,0.0,900.0,E8:6C:B4:D9:07:D4,1,-48290.0,137640.0,-134071.0,99168.0,-106538.0,0,1
0,0.0,900.0,FB:B7:54:DD:E4:BB,11,-31344.0,132110.81818181818,-153565.54545454544,120355.36363636363,-118376.18181818182,0,1
0,0.0,900.0,E8:8C:6D:9F:32:DA,1,-13161.0,139604.0,-141599.0,100055.0,-103550.0,0,1
0,0.0,900.0,EB:77:3A:EF:F7:AF,3,-19731.666666666668,133255.66666666666,-124546.0,112608.33333333333,-110834.0,0,1
0,0.0,900.0,FD:9D:AF:EE:ED:04,1,-27204.0,114615.0,-115470.0,95838.0,-111333.0,0,1
0,0.0,900.0,CD:0B:90:56:62:BA,1,-30190.0,127598.0,-137651.0,78940.0,-112437.0,0,1
0,0.0,900.0,81:F5:AF:15:52:F2,1,30799.0,141309.0,-115531.0,132037.0,-117436.0,-1,0
0,0.0,900.0,EB:77:BA:CF:E3:AF,1,-6139.0,131692.0,-130336.0,113586.0,-112851.0,0,1
0,0.0,900.0,F3:BE:F3:AC:F1:B2,4,-19779.75,93380.5,-113370.5,101741.25,-122809.25,0,1
0,0.0,900.0,DF:68:B7:CA:0B:A8,1,-6066.0,127802.0,-133554.0,100682.0,-108306.0,0,1
0,0.0,900.0,DC:9D:17:B6:B3:DA,1,0.0,148545.0,-102740.0,127021.0,-104251.0,0,1
0,0.0,900.0,D3:F5:AF:15:52:72,1,32481.0,166531.0,-131024.0,136560.0,-119458.0,-1,0
0,0.0,900.0,DB:11:1F:1E:03:E6,1,-16813.0,157777.0,-155262.0,107815.0,-112989.0,0,1
0,0.0,900.0,EE:7F:69:FB:62:44,1,2362.0,103432.0,-100574.0,108599.0,-107672.0,0,1
0,0.0,900.0,DA:0A:C0:08:46:E8,1,-5459.0,111908.0,-124893.0,96863.0,-110835.0,0,1
0,0.0,900.0,DB:02:58:D6:73:B0,1,4848.0,115736.0,-117923.0,110248.0,-128117.0,0,1
0,0.0,900.0,D3:65:AF:15:52:F2,1,26129.0,157883.0,-135662.0,138586.0,-123105.0,-1,0
0,0.0,900.0,FC:4A:D9:9F:0E:28,1,-19978.0,154026.0,-157176.0,105686.0,-114045.0,0,1
