idx,mac,cluster,t
290,6F:BD:31:06:60:8F,5,1760148126.897433
291,67:1B:76:98:F8:0A,5,1760148126.899396
292,67:1B:76:98:F8:0A,5,1760148126.899438
293,67:1B:76:98:F8:0A,5,1760148126.899593
294,52:5A:5E:12:10:1C,2,1760148126.925879
295,52:5A:5E:12:10:1C,2,1760148126.925964
296,6F:BD:31:06:60:8F,2,1760148126.937638
297,49:25:F4:02:F1:57,2,1760148126.940452
298,49:25:F4:02:F1:57,2,1760148126.940614
299,E8:E7:6B:AB:25:1B,2,1760148126.948674
300,E8:E7:6B:AB:25:1B,2,1760148126.948863
301,E8:E7:6B:AB:25:1B,2,1760148126.948899
302,58:1D:3E:9A:9C:CF,2,1760148126.951858
303,58:1D:3E:9A:9C:CF,2,1760148126.952020
304,58:1D:3E:9A:9C:CF,2,1760148126.952060
305,67:1B:76:98:F8:0A,2,1760148126.953737
306,FC:BE:F5:F1:0A:67,5,1760148126.976822
307,FC:BE:F5:F1:0A:67,5,1760148126.976890
308,6F:BD:31:06:60:8F,5,1760148126.977666
309,49:25:F4:02:F1:57,5,1760148126.995379
310,6F:BD:31:06:60:8F,5,1760148127.016736
311,58:1D:3E:9A:9C:CF,5,1760148127.017150
312,67:1B:76:98:F8:0A,5,1760148127.018653
313,52:5A:5E:12:10:1C,5,1760148127.034866
314,52:5A:5E:12:10:1C,5,1760148127.035022
315,6F:BD:31:06:60:8F,5,1760148127.045598
316,49:25:F4:02:F1:57,5,1760148127.049042
317,49:25:F4:02:F1:57,5,1760148127.049089
318,58:1D:3E:9A:9C:CF,2,1760148127.073751
319,58:1D:3E:9A:9C:CF,2,1760148127.073948
320,67:1B:76:98:F8:0A,2,1760148127.074451
321,CA:18:06:4A:A6:34,2,1760148127.076310
322,6F:BD:31:06:60:8F,2,1760148127.087101
323,49:25:F4:02:F1:57,2,1760148127.104435
324,49:25:F4:02:F1:57,2,1760148127.104479
325,49:25:F4:02:F1:57,2,1760148127.104634
326,6F:BD:31:06:60:8F,0,1760148127.126748
327,58:1D:3E:9A:9C:CF,0,1760148127.128324
328,58:1D:3E:9A:9C:CF,0,1760148127.128519
329,67:1B:76:98:F8:0A,0,1760148127.128907
330,52:5A:5E:12:10:1C,0,1760148127.144418
331,6F:BD:31:06:60:8F,0,1760148127.156010
332,49:25:F4:02:F1:57,0,1760148127.169478
333,49:25:F4:02:F1:57,0,1760148127.169553
334,58:1D:3E:9A:9C:CF,0,1760148127.182483
335,58:1D:3E:9A:9C:CF,0,1760148127.182642
336,67:1B:76:98:F8:0A,0,1760148127.183420
337,67:1B:76:98:F8:0A,0,1760148127.183575
338,6F:BD:31:06:60:8F,3,1760148127.195502
339,49:25:F4:02:F1:57,4,1760148127.223828
340,49:25:F4:02:F1:57,4,1760148127.223905
341,E9:E0:F5:D9:0D:AC,3,1760148127.233418
342,E9:E0:F5:D9:0D:AC,3,1760148127.233459
343,E8:DC:4C:47:ED:06,3,1760148127.234596
344,6F:BD:31:06:60:8F,4,1760148127.235495
345,58:1D:3E:9A:9C:CF,4,1760148127.236845
346,58:1D:3E:9A:9C:CF,2,1760148127.237001
347,67:1B:76:98:F8:0A,4,1760148127.237405
348,67:1B:76:98:F8:0A,4,1760148127.237444
349,67:1B:76:98:F8:0A,2,1760148127.237593
350,67:1B:76:98:F8:0A,2,1760148127.237629
351,F7:8F:C1:10:E6:75,3,1760148127.241513
352,D7:80:75:4B:C7:23,3,1760148127.249839
353,D7:80:75:4B:C7:23,2,1760148127.249981
354,F0:9B:FA:B6:46:83,3,1760148127.250080
355,F0:9B:FA:B6:46:83,3,1760148127.250117
356,F0:9B:FA:B6:46:83,2,1760148127.250252
357,6F:BD:31:06:60:8F,4,1760148127.275352
358,49:25:F4:02:F1:57,3,1760148127.279653
359,49:25:F4:02:F1:57,3,1760148127.279694
360,49:25:F4:02:F1:57,4,1760148127.279849
361,49:25:F4:02:F1:57,4,1760148127.279885
362,61:32:E8:60:D5:55,3,1760148127.287819
363,58:1D:3E:9A:9C:CF,3,1760148127.291672
364,58:1D:3E:9A:9C:CF,3,1760148127.291827
365,67:1B:76:98:F8:0A,3,1760148127.292212
366,67:1B:76:98:F8:0A,3,1760148127.292367
367,6F:BD:31:06:60:8F,4,1760148127.304061
368,6F:BD:31:06:60:8F,4,1760148127.304112
369,49:25:F4:02:F1:57,2,1760148127.336977
370,49:25:F4:02:F1:57,2,1760148127.337058
371,6F:BD:31:06:60:8F,3,1760148127.347244
372,58:1D:3E:9A:9C:CF,2,1760148127.348812
373,58:1D:3E:9A:9C:CF,2,1760148127.348975
374,67:1B:76:98:F8:0A,2,1760148127.350157
375,67:1B:76:98:F8:0A,2,1760148127.350314
376,E8:E7:6B:AB:25:1B,3,1760148127.356746
377,E8:E7:6B:AB:25:1B,3,1760148127.356792
378,6F:BD:31:06:60:8F,3,1760148127.387631
379,49:25:F4:02:F1:57,3,1760148127.391450
380,49:25:F4:02:F1:57,3,1760148127.391492
381,49:25:F4:02:F1:57,3,1760148127.391647
382,49:25:F4:02:F1:57,3,1760148127.391684
383,58:1D:3E:9A:9C:CF,3,1760148127.403201
384,58:1D:3E:9A:9C:CF,3,1760148127.403357
385,67:1B:76:98:F8:0A,3,1760148127.404520
386,6F:BD:31:06:60:8F,4,1760148127.429075
387,49:25:F4:02:F1:57,4,1760148127.446333
