cluster_id,t_s,t_e,chunk_idx,mac,n_keys,purity_cluster,entropy_cluster,is_quarantined,decision,d_best,n_rows_in_chunk_for_mac,seg_CFO_Hz,seg_CFO_00_Hz,seg_CFO_11_Hz,seg_CFO_10_Hz,seg_CFO_01_Hz
127,900.0,1800.0,1,D2:76:95:3F:3E:76,1,1.0,0.0,0,SPAWN,446637338013406.44,1,7952.0,-4533.0,-90130.0,61836.0,-95369.0
128,900.0,1800.0,1,AD:9D:F6:CA:B8:DF,1,1.0,0.0,0,SPAWN,18523178515550.81,1,-37026.0,91269.0,-106434.0,90973.0,-100529.0
129,900.0,1800.0,1,C2:B5:F9:AB:28:E0,1,1.0,0.0,0,SPAWN,12284781602185.934,1,18679.0,144105.0,-146128.0,124429.0,-125579.0
130,900.0,1800.0,1,EA:4E:2A:6B:5F:3F,1,1.0,0.0,0,SPAWN,8699447787480.315,2,-24420.0,127580.0,-136323.0,109279.5,-113037.5
131,900.0,1800.0,1,EA:0E:2A:6B:5D:3F,1,1.0,0.0,0,SPAWN,4979316369571.596,1,-24645.0,120028.0,-111885.0,114124.0,-112744.0
132,900.0,1800.0,1,C0:42:17:1B:82:58,1,1.0,0.0,0,SPAWN,43248523504501.03,1,29394.0,119317.0,-126139.0,108043.0,-100378.0
133,900.0,1800.0,1,F4:D2:7C:42:2A:A2,1,1.0,0.0,0,SPAWN,729111604579.7222,2,-11892.0,139562.5,-150196.0,124478.0,-109780.0
134,900.0,1800.0,1,C8:C9:B7:99:0B:EE,1,1.0,0.0,0,SPAWN,10087501400.420942,1,-37108.0,88973.0,-136037.0,102613.0,-99254.0
135,900.0,1800.0,1,EA:D2:E4:E7:21:0E,1,1.0,0.0,0,SPAWN,1.2265197008437698e+17,2,42292.0,133640.5,-99260.0,124995.0,-84921.5
136,900.0,1800.0,1,C5:2F:FB:DA:47:62,1,1.0,0.0,0,SPAWN,49926214382871.77,1,16600.0,115382.0,-123398.0,107055.0,-89425.0
137,900.0,1800.0,1,CD:CB:EE:5B:1D:84,1,1.0,0.0,0,SPAWN,238735350921.3396,1,-17671.0,147274.0,-101329.0,99808.0,-91277.0
138,900.0,1800.0,1,D8:10:08:B4:6A:06,1,1.0,0.0,0,SPAWN,8047179649111.804,1,631.0,134177.0,-128252.0,116541.0,-97721.0
139,900.0,1800.0,1,CD:CB:EE:5B:1D:94,1,1.0,0.0,0,SPAWN,441158333456503.4,1,10951.0,119165.0,-85641.0,86343.0,-93394.0
